,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
123,2023-04-06 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/183946/fnatic-vs-team-heretics-champions-tour-2023-emea-league-w2,2,0,1,"Icebox
PICK",53:35,FNATIC,13,Team Heretics,3,2,0,2 (2),4 (0),0 (0),0 (0),6 (4),6 (1),8 (7),6 (2)
124,2023-04-06 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/183946/fnatic-vs-team-heretics-champions-tour-2023-emea-league-w2,2,0,2,"Ascent
PICK",51:04,FNATIC,13,Team Heretics,6,1,1,3 (2),4 (1),0 (0),2 (0),2 (1),4 (2),14 (10),9 (3)
125,2023-04-07 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2,2,0,1,"Ascent
PICK",1:04:01,Team Liquid,13,Karmine Corp,5,1,1,3 (1),4 (1),0 (0),1 (1),3 (2),5 (1),12 (10),8 (2)
126,2023-04-07 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/183947/team-liquid-vs-karmine-corp-champions-tour-2023-emea-league-w2,2,0,2,"Split
PICK",39:09,Team Liquid,13,Karmine Corp,2,1,1,3 (1),3 (1),0 (0),3 (0),2 (2),5 (1),10 (10),4 (0)
127,2023-04-07 14:30:00,Patch 6.06,BO3,https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2,0,2,1,"Lotus
PICK",55:50,KOI,1,Giants Gaming,13,0,2,3 (0),2 (2),3 (0),0 (0),8 (1),2 (2),0 (0),10 (9)
128,2023-04-07 14:30:00,Patch 6.06,BO3,https://www.vlr.gg/183948/koi-vs-giants-gaming-champions-tour-2023-emea-league-w2,0,2,2,"Ascent
PICK",1:01:17,KOI,11,Giants Gaming,13,1,1,2 (1),4 (3),3 (1),0 (0),12 (5),5 (1),7 (4),15 (9)
129,2023-04-12 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,2,1,1,"Pearl
PICK",37:40,Natus Vincere,13,Team Heretics,3,2,0,2 (2),3 (0),0 (0),1 (0),3 (3),6 (2),11 (8),6 (1)
130,2023-04-12 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,2,1,2,"Lotus
PICK",57:43,Natus Vincere,9,Team Heretics,13,1,1,3 (1),3 (1),2 (1),2 (2),5 (1),4 (2),12 (6),13 (8)
131,2023-04-12 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/183949/natus-vincere-vs-team-heretics-champions-tour-2023-emea-league-w3,2,1,3,Ascent,36:45,Natus Vincere,13,Team Heretics,2,1,1,2 (1),3 (1),1 (1),2 (0),2 (2),5 (0),10 (9),5 (1)
132,2023-04-13 12:40:00,Patch 6.06,BO3,https://www.vlr.gg/183950/koi-vs-fut-esports-champions-tour-2023-emea-league-w3,0,2,1,,,,,,,,,,,,,,,,
133,2023-04-13 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3,0,2,1,"Lotus
PICK",1:12:16,Team Liquid,6,FNATIC,13,1,1,3 (1),3 (1),2 (0),1 (0),6 (2),4 (3),8 (3),11 (9)
134,2023-04-13 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/183951/team-liquid-vs-fnatic-champions-tour-2023-emea-league-w3,0,2,2,"Haven
PICK",48:46,Team Liquid,6,FNATIC,13,1,1,3 (1),3 (1),1 (1),0 (0),10 (1),4 (4),5 (3),12 (8)
135,2023-04-14 13:00:00,Patch 6.06,BO3,https://www.vlr.gg/183952/giants-gaming-vs-bbl-esports-champions-tour-2023-emea-league-w3,2,0,1,"Icebox
PICK",1:09:41,Giants Gaming,13,BBL Esports,10,1,1,4 (1),3 (1),0 (0),2 (0),7 (4),12 (6),12 (8),6 (3)
