,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
0,2022-07-01 23:00:00,Patch 5.0,BO1,https://www.vlr.gg/112464/complexity-gx3-vs-team-opulence-black-champions-tour-game-changers-series-ii-north-america-uro24,1,0,1,Bind,35:01,Complexity GX3,13,Team Opulence Black,3,1,1,2 (1),3 (1),0 (0),1 (0),6 (5),5 (0),8 (7),7 (2)
1,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112465/dignitas-vs-clg-red-champions-tour-game-changers-series-ii-north-america-uro16,1,0,1,Ascent,38:56,Dignitas,13,CLG Red,5,1,1,3 (1),3 (1),0 (0),2 (0),3 (3),6 (1),12 (9),7 (3)
2,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112466/misfits-black-vs-team-mystic-venus-champions-tour-game-changers-series-ii-north-america-uro16,1,0,1,Ascent,54:34,Misfits Black,14,Team Mystic Venus,12,1,1,3 (1),2 (1),2 (0),0 (0),5 (3),8 (2),16 (10),16 (9)
3,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112467/tsm-x-vs-nmg-celeste-champions-tour-game-changers-series-ii-north-america-uro16,1,0,1,Fracture,37:10,TSM X,13,NMG Celeste,6,0,2,4 (0),3 (2),0 (0),1 (1),1 (1),7 (3),14 (12),8 (0)
4,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112468/dart-monkeys-vs-versionx-champions-tour-game-changers-series-ii-north-america-uro16,1,0,1,Fracture,45:40,dart monkeys,13,VersionX,10,1,1,3 (1),3 (1),2 (1),1 (0),4 (3),7 (2),14 (8),12 (7)
5,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112470/gen-g-black-vs-sanri-os-champions-tour-game-changers-series-ii-north-america-uro16,0,1,1,Ascent,55:48,Gen.G Black,11,Sanri-O's,13,0,2,4 (1),3 (2),2 (0),2 (1),1 (0),6 (2),17 (10),13 (8)
6,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112471/shopify-rebellion-gc-vs-xset-female-champions-tour-game-changers-series-ii-north-america-uro16,1,0,1,Bind,37:45,Shopify Rebellion GC,13,XSET,3,2,0,2 (2),4 (0),1 (1),1 (0),5 (3),3 (0),8 (7),8 (3)
7,2022-07-02 16:00:00,Patch 5.0,BO1,https://www.vlr.gg/112472/native-gaming-white-vs-complexity-gx3-champions-tour-game-changers-series-ii-north-america-uro16,0,1,1,Haven,35:53,Native Gaming White,6,Complexity GX3,13,1,1,3 (1),3 (1),0 (0),0 (0),8 (2),4 (3),8 (3),12 (9)
8,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112473/dignitas-vs-misfits-black-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,1,"Fracture
PICK",46:57,Dignitas,8,Misfits Black,13,1,1,4 (1),3 (1),2 (0),1 (1),5 (3),4 (2),10 (4),13 (9)
9,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112473/dignitas-vs-misfits-black-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,2,"Ascent
PICK",42:25,Dignitas,13,Misfits Black,5,1,1,3 (1),2 (1),1 (0),2 (0),5 (4),7 (2),9 (8),7 (2)
10,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112473/dignitas-vs-misfits-black-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,3,Breeze,48:15,Dignitas,13,Misfits Black,8,0,2,4 (1),2 (2),1 (1),2 (0),0 (0),7 (2),16 (11),10 (4)
11,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112474/tsm-x-vs-dart-monkeys-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,1,"Fracture
PICK",34:58,TSM X,5,dart monkeys,13,1,1,3 (1),3 (1),4 (0),0 (0),3 (2),3 (2),8 (2),12 (10)
12,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112474/tsm-x-vs-dart-monkeys-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,2,"Ascent
PICK",54:47,TSM X,13,dart monkeys,11,1,1,3 (1),3 (1),3 (1),0 (0),3 (2),9 (4),15 (9),12 (6)
13,2022-07-02 17:20:00,Patch 5.0,BO3,https://www.vlr.gg/112474/tsm-x-vs-dart-monkeys-champions-tour-game-changers-series-ii-north-america-ubqf,2,1,3,Bind,50:36,TSM X,13,dart monkeys,11,0,2,4 (0),2 (2),0 (0),1 (0),3 (2),7 (3),17 (11),14 (6)
14,2022-07-02 17:25:00,Patch 5.0,BO3,https://www.vlr.gg/112475/immortals-vs-sanri-os-champions-tour-game-changers-series-ii-north-america-ubqf,2,0,1,Ascent,57:53,Immortals,15,Sanri-O's,13,1,1,3 (1),3 (1),1 (0),2 (0),5 (4),3 (2),19 (10),20 (10)
15,2022-07-02 17:25:00,Patch 5.0,BO3,https://www.vlr.gg/112475/immortals-vs-sanri-os-champions-tour-game-changers-series-ii-north-america-ubqf,2,0,2,Icebox,38:06,Immortals,13,Sanri-O's,8,0,2,4 (0),2 (2),0 (0),3 (0),1 (1),7 (2),16 (12),9 (4)
16,2022-07-02 17:15:00,Patch 5.0,BO3,https://www.vlr.gg/112476/shopify-rebellion-gc-vs-complexity-gx3-champions-tour-game-changers-series-ii-north-america-ubqf,2,0,1,Bind,49:51,Shopify Rebellion GC,13,Complexity GX3,10,1,1,3 (1),3 (1),1 (0),1 (0),7 (4),6 (2),12 (8),13 (7)
17,2022-07-02 17:15:00,Patch 5.0,BO3,https://www.vlr.gg/112476/shopify-rebellion-gc-vs-complexity-gx3-champions-tour-game-changers-series-ii-north-america-ubqf,2,0,2,Fracture,42:37,Shopify Rebellion GC,13,Complexity GX3,9,0,2,3 (0),3 (2),0 (0),2 (1),6 (4),6 (1),13 (9),11 (5)
