,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
1236,2022-10-14 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/151085/immortals-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lr3,0,2,2,"Icebox
PICK",59:16,Immortals,13,Misfits Black,15,1,1,3 (1),3 (1),0 (0),1 (0),7 (4),7 (4),18 (8),17 (10)
1237,2022-10-15 16:10:00,Patch 5.06,BO5,https://www.vlr.gg/151086/shopify-rebellion-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lbf,3,2,1,"Icebox
PICK",37:57,Shopify Rebellion GC,4,Misfits Black,13,1,1,3 (1),3 (1),3 (0),0 (0),4 (2),3 (3),7 (1),11 (9)
1238,2022-10-15 16:10:00,Patch 5.06,BO5,https://www.vlr.gg/151086/shopify-rebellion-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lbf,3,2,2,"Haven
PICK",46:02,Shopify Rebellion GC,13,Misfits Black,8,0,2,3 (0),3 (2),1 (0),2 (0),4 (3),10 (5),13 (10),6 (1)
1239,2022-10-15 16:10:00,Patch 5.06,BO5,https://www.vlr.gg/151086/shopify-rebellion-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lbf,3,2,3,"Pearl
PICK",52:16,Shopify Rebellion GC,13,Misfits Black,11,0,2,4 (0),3 (2),1 (0),2 (1),2 (1),6 (4),17 (12),13 (4)
1240,2022-10-15 16:10:00,Patch 5.06,BO5,https://www.vlr.gg/151086/shopify-rebellion-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lbf,3,2,4,"Breeze
PICK",43:39,Shopify Rebellion GC,8,Misfits Black,13,2,0,3 (2),3 (0),0 (0),1 (0),7 (3),3 (3),11 (3),14 (10)
1241,2022-10-15 16:10:00,Patch 5.06,BO5,https://www.vlr.gg/151086/shopify-rebellion-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-lbf,3,2,5,Fracture,50:22,Shopify Rebellion GC,13,Misfits Black,10,1,1,3 (1),2 (1),2 (1),1 (1),2 (1),6 (2),16 (10),14 (6)
1242,2022-10-07 18:30:00,Patch 5.06,BO3,https://www.vlr.gg/150155/one-mom-four-kittens-vs-ariana-grande-perfume-champions-tour-game-changers-series-iii-north-amer,0,2,1,Haven,42:51,One Mom Four Kittens,10,Ariana Grande Perfume,13,1,1,3 (1),3 (1),1 (0),0 (0),5 (2),6 (4),14 (7),14 (8)
1243,2022-10-07 18:30:00,Patch 5.06,BO3,https://www.vlr.gg/150155/one-mom-four-kittens-vs-ariana-grande-perfume-champions-tour-game-changers-series-iii-north-amer,0,2,2,Ascent,50:33,One Mom Four Kittens,11,Ariana Grande Perfume,13,1,1,4 (1),3 (1),2 (1),3 (1),3 (2),4 (2),15 (7),14 (9)
1244,2022-10-07 18:30:00,Patch 5.06,BO3,https://www.vlr.gg/150156/immortals-vs-clg-red-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Icebox,47:22,Immortals,13,CLG Red,10,0,2,4 (0),4 (2),2 (0),0 (0),2 (1),7 (3),15 (12),12 (5)
1245,2022-10-07 18:30:00,Patch 5.06,BO3,https://www.vlr.gg/150156/immortals-vs-clg-red-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Ascent,46:39,Immortals,13,CLG Red,10,2,0,2 (2),4 (0),0 (0),2 (0),7 (2),3 (2),14 (9),14 (8)
1246,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150157/tactical-throwers-vs-crouchshooters-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Ascent,38:37,Tactical Throwers,13,CROUCHSHOOTERS,6,2,0,2 (2),4 (0),1 (0),2 (0),6 (5),1 (0),10 (6),12 (6)
1247,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150157/tactical-throwers-vs-crouchshooters-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Haven,35:21,Tactical Throwers,13,CROUCHSHOOTERS,6,1,1,3 (1),3 (1),1 (0),4 (0),2 (2),2 (2),13 (10),10 (3)
1248,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150158/team-mystic-venus-vs-solaire-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Icebox,36:02,Team Mystic Venus,13,Solaire,5,1,1,3 (1),3 (1),1 (0),1 (0),2 (2),6 (1),12 (10),8 (3)
1249,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150158/team-mystic-venus-vs-solaire-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Breeze,24:47,Team Mystic Venus,13,Solaire,4,2,0,2 (2),4 (0),1 (0),1 (0),3 (3),4 (1),11 (8),8 (3)
1250,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150159/whiteout-vs-dart-monkeys-champions-tour-game-changers-series-iii-north-america-uro24,1,2,1,Breeze,36:21,WHITEOUT,7,dart monkeys,13,0,2,4 (0),2 (2),2 (0),0 (0),2 (0),7 (5),12 (7),11 (6)
1251,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150159/whiteout-vs-dart-monkeys-champions-tour-game-changers-series-iii-north-america-uro24,1,2,2,Ascent,1:01:33,WHITEOUT,17,dart monkeys,15,1,1,3 (1),3 (1),2 (0),0 (0),4 (1),5 (3),23 (15),24 (11)
1252,2022-10-07 19:00:00,Patch 5.06,BO3,https://www.vlr.gg/150159/whiteout-vs-dart-monkeys-champions-tour-game-changers-series-iii-north-america-uro24,1,2,3,Haven,35:18,WHITEOUT,8,dart monkeys,13,0,2,4 (0),2 (2),3 (1),1 (0),2 (0),8 (4),12 (7),10 (7)
1253,2022-10-07 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150160/complexity-gx3-vs-versionx-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Ascent,34:41,Complexity GX3,13,VersionX,3,2,0,2 (2),4 (0),0 (0),2 (0),4 (3),4 (1),10 (8),6 (2)
1254,2022-10-07 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150160/complexity-gx3-vs-versionx-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Haven,28:21,Complexity GX3,13,VersionX,0,2,0,2 (2),3 (0),0 (0),1 (0),2 (2),4 (0),9 (9),5 (0)
1255,2022-10-07 17:30:00,Patch 5.06,BO3,https://www.vlr.gg/150161/eq-cerise-vs-26-rising-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Fracture,37:47,EQ Cerise,13,26 Rising,8,0,2,4 (0),2 (2),1 (1),0 (0),2 (2),11 (5),14 (10),8 (1)
1256,2022-10-07 17:30:00,Patch 5.06,BO3,https://www.vlr.gg/150161/eq-cerise-vs-26-rising-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Bind,41:15,EQ Cerise,13,26 Rising,10,1,1,3 (1),3 (1),3 (1),2 (0),3 (2),3 (3),14 (9),15 (6)
1257,2022-10-07 17:30:00,Patch 5.06,BO3,https://www.vlr.gg/150162/xset-purple-vs-nmg-celeste-champions-tour-game-changers-series-iii-north-america-uro24,2,0,1,Ascent,42:48,XSET,13,NMG Celeste,8,0,2,3 (0),3 (2),1 (0),4 (1),2 (1),6 (3),15 (12),8 (2)
1258,2022-10-07 17:30:00,Patch 5.06,BO3,https://www.vlr.gg/150162/xset-purple-vs-nmg-celeste-champions-tour-game-changers-series-iii-north-america-uro24,2,0,2,Breeze,23:40,XSET,13,NMG Celeste,2,2,0,2 (2),4 (0),0 (0),3 (0),3 (3),0 (0),10 (8),8 (2)
